date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:06:17	134/134	---M--	302	error ('Found')	text/html	date:Fri,%2015%20Nov%202024%2009:36:15%20GMT	https://uuerp.uttaranchaluniversity.ac.in/Account/Login	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/Account/Login.38.delayed	(from https://uuerp.uttaranchaluniversity.ac.in/Account/ForgotPassword)
15:06:18	19068/19068	---M--	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2009:36:15%20GMT	https://uuerp.uttaranchaluniversity.ac.in/Account/Login_UU	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/Account/Login_UU.html	(from https://uuerp.uttaranchaluniversity.ac.in/Account/ForgotPassword)
15:06:20	35151/35151	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%220f0e9a41ca4d21:0%22	https://uuerp.uttaranchaluniversity.ac.in/fonts/weathericons-regular-webfont.eot	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/fonts/weathericons-regular-webfont.eot	(from https://uuerp.uttaranchaluniversity.ac.in/css/libs/weather-icons.css)
15:06:21	35151/35151	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%220f0e9a41ca4d21:0%22	https://uuerp.uttaranchaluniversity.ac.in/fonts/weathericons-regular-webfont.eot?	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/fonts/weathericons-regular-webfontd41d.eot	(from https://uuerp.uttaranchaluniversity.ac.in/css/libs/weather-icons.css)
15:06:24	40408/40408	---M--	200	added ('OK')	font/x-woff	etag:%220f0e9a41ca4d21:0%22	https://uuerp.uttaranchaluniversity.ac.in/fonts/weathericons-regular-webfont.woff	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/fonts/weathericons-regular-webfont.woff	(from https://uuerp.uttaranchaluniversity.ac.in/css/libs/weather-icons.css)
15:06:27	67016/67016	---M--	200	added ('OK')	application/octet-stream	etag:%220f0e9a41ca4d21:0%22	https://uuerp.uttaranchaluniversity.ac.in/fonts/weathericons-regular-webfont.ttf	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/fonts/weathericons-regular-webfont.ttf	(from https://uuerp.uttaranchaluniversity.ac.in/css/libs/weather-icons.css)
15:06:28	178/178	---M--	200	added ('OK')	image/png	etag:%220d757821ca4d21:0%22	https://uuerp.uttaranchaluniversity.ac.in/Content/themes/base/images/ui-bg_flat_75_ffffff_40x100.png	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/Content/themes/base/images/ui-bg_flat_75_ffffff_40x100.png	(from https://uuerp.uttaranchaluniversity.ac.in/Content/themes/base/jquery-ui.css)
15:06:31	110/110	---M--	200	added ('OK')	image/png	etag:%220d757821ca4d21:0%22	https://uuerp.uttaranchaluniversity.ac.in/Content/themes/base/images/ui-bg_glass_75_e6e6e6_1x400.png	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/Content/themes/base/images/ui-bg_glass_75_e6e6e6_1x400.png	(from https://uuerp.uttaranchaluniversity.ac.in/Content/themes/base/jquery-ui.css)
15:06:33	111/111	---M--	200	added ('OK')	image/png	etag:%220d757821ca4d21:0%22	https://uuerp.uttaranchaluniversity.ac.in/Content/themes/base/images/ui-bg_glass_75_dadada_1x400.png	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/Content/themes/base/images/ui-bg_glass_75_dadada_1x400.png	(from https://uuerp.uttaranchaluniversity.ac.in/Content/themes/base/jquery-ui.css)
15:06:34	127706/127706	---M--	200	added ('OK')	image/svg+xml	etag:%220f0e9a41ca4d21:0%22	https://uuerp.uttaranchaluniversity.ac.in/fonts/weathericons-regular-webfont.svg	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/fonts/weathericons-regular-webfont.svg	(from https://uuerp.uttaranchaluniversity.ac.in/css/libs/weather-icons.css)
15:06:34	105/105	---M--	200	added ('OK')	image/png	etag:%220d757821ca4d21:0%22	https://uuerp.uttaranchaluniversity.ac.in/Content/themes/base/images/ui-bg_glass_65_ffffff_1x400.png	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/Content/themes/base/images/ui-bg_glass_65_ffffff_1x400.png	(from https://uuerp.uttaranchaluniversity.ac.in/Content/themes/base/jquery-ui.css)
15:06:35	119/119	---M--	200	added ('OK')	image/png	etag:%220d757821ca4d21:0%22	https://uuerp.uttaranchaluniversity.ac.in/Content/themes/base/images/ui-bg_glass_95_fef1ec_1x400.png	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/Content/themes/base/images/ui-bg_glass_95_fef1ec_1x400.png	(from https://uuerp.uttaranchaluniversity.ac.in/Content/themes/base/jquery-ui.css)
15:06:36	4369/4369	---M--	200	added ('OK')	image/png	etag:%220d757821ca4d21:0%22	https://uuerp.uttaranchaluniversity.ac.in/Content/themes/base/images/ui-icons_222222_256x240.png	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/Content/themes/base/images/ui-icons_222222_256x240.png	(from https://uuerp.uttaranchaluniversity.ac.in/Content/themes/base/jquery-ui.css)
15:06:38	4369/4369	---M--	200	added ('OK')	image/png	etag:%220d757821ca4d21:0%22	https://uuerp.uttaranchaluniversity.ac.in/Content/themes/base/images/ui-icons_888888_256x240.png	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/Content/themes/base/images/ui-icons_888888_256x240.png	(from https://uuerp.uttaranchaluniversity.ac.in/Content/themes/base/jquery-ui.css)
15:06:40	4369/4369	---M--	200	added ('OK')	image/png	etag:%220d757821ca4d21:0%22	https://uuerp.uttaranchaluniversity.ac.in/Content/themes/base/images/ui-icons_454545_256x240.png	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/Content/themes/base/images/ui-icons_454545_256x240.png	(from https://uuerp.uttaranchaluniversity.ac.in/Content/themes/base/jquery-ui.css)
15:06:43	4369/4369	---M--	200	added ('OK')	image/png	etag:%220d757821ca4d21:0%22	https://uuerp.uttaranchaluniversity.ac.in/Content/themes/base/images/ui-icons_2e83ff_256x240.png	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/Content/themes/base/images/ui-icons_2e83ff_256x240.png	(from https://uuerp.uttaranchaluniversity.ac.in/Content/themes/base/jquery-ui.css)
